Ticker,Date,Broker,Suggestion,Actual Price,Target Price,Percentage Change
vcb,25/11/2024,VND,Mua,91.6,109.6,19.650655021834062
vcb,05/09/2024,VND,Mua,91.6,112.8,23.144104803493455
vcb,25/06/2024,VND,Mua,91.6,111.8,22.052401746724897
vcb,12/04/2024,VND,Mua,91.6,118.7,29.58515283842796
bid,12/12/2024,VND,Giữ,40.65,51.1,25.707257072570734
bid,23/09/2024,VND,Mua,40.65,57.6,41.69741697416975
bid,03/07/2024,VND,Mua,40.65,51.6,26.937269372693734
ctg,21/11/2024,VND,Mua,40.55,39.9,-1.6029593094944476
ctg,20/08/2024,VND,Mua,40.55,39.9,-1.6029593094944476
ctg,15/04/2024,VND,Mua,40.55,39.5,-2.589395807644876
fpt,03/02/2025,HSC,Mua,144.9,160.8,10.973084886128367
fpt,11/12/2024,VND,Mua,144.9,196.6,35.67977915804002
fpt,04/10/2024,VND,Giữ,144.9,145.2,0.2070393374741083
fpt,27/05/2024,VND,Mua,144.9,157.3,8.5576259489303
tcb,06/02/2025,MSGS,Giữ,26.0,30.06,15.615384615384611
tcb,04/12/2024,VND,Mua,26.0,31.1,19.61538461538462
tcb,21/03/2024,VND,Mua,26.0,50.6,94.61538461538463
vhm,18/12/2024,VND,Mua,38.8,48.8,25.773195876288664
vhm,19/09/2024,VND,Mua,38.8,52.7,35.824742268041255
vhm,15/04/2024,VND,Mua,38.8,66.4,71.13402061855673
hpg,05/02/2025,HSC,Mua,26.1,36.8,40.99616858237546
hpg,10/12/2024,VND,Giữ,26.1,29.2,11.877394636015316
hpg,25/09/2024,VND,Mua,26.1,30.0,14.942528735632177
hpg,27/06/2024,VND,Mua,26.1,44.0,68.58237547892719
gas,20/12/2024,VND,Mua,67.7,85.0,25.553914327917276
gas,20/08/2024,VND,Mua,67.7,93.5,38.109305760709006
gas,27/05/2024,VND,Giữ,67.7,84.1,24.224519940915794
gas,07/03/2024,VND,Giữ,67.7,83.5,23.33825701624815
vic,04/02/2025,HSC,Giữ,40.25,42.6,5.83850931677019
vic,22/01/2025,VND,Giữ,40.25,45.6,13.291925465838514
vic,26/08/2024,VND,Giữ,40.25,46.6,15.776397515527954
vpb,24/01/2025,HSC,Mua,19.0,23.0,21.052631578947366
vpb,09/12/2024,VND,Mua,19.0,23.5,23.684210526315788
vpb,25/09/2024,VND,Mua,19.0,23.8,25.26315789473685
vpb,03/06/2024,VND,Mua,19.0,24.7,30.0
vnm,25/12/2024,VND,Mua,60.3,74.8,24.04643449419569
vnm,08/10/2024,VND,Mua,60.3,82.6,36.981757877280266
vnm,13/05/2024,VND,Mua,60.3,81.0,34.32835820895523
vnm,07/03/2024,VND,Mua,60.3,83.9,39.13764510779438
mbb,26/12/2024,VND,Mua,22.85,30.0,31.29102844638949
mbb,11/10/2024,VND,Mua,22.85,31.2,36.54266958424506
mbb,18/07/2024,VND,Mua,22.85,28.4,24.288840262582042
mbb,21/03/2024,VND,Mua,22.85,31.7,38.73085339168489
gvr,07/10/2024,VCS,Giữ,30.35,34.6,14.00329489291598
acb,12/12/2024,VND,Mua,25.75,34.1,32.42718446601942
acb,28/10/2024,VND,Mua,25.75,31.2,21.16504854368932
acb,17/06/2024,VND,Mua,25.75,30.3,17.669902912621364
msn,04/02/2025,HSC,Mua,68.1,97.2,42.731277533039666
lpb,30/12/2024,VND,Bán,37.5,25.5,-32.0
lpb,21/08/2024,VND,Bán,37.5,25.4,-32.26666666666667
lpb,15/05/2024,VND,Mua,37.5,23.7,-36.8
mwg,04/02/2025,HSC,Mua,55.2,75.8,37.318840579710134
mwg,12/12/2024,VND,Mua,55.2,77.8,40.942028985507235
mwg,27/09/2024,VND,Mua,55.2,80.4,45.652173913043484
mwg,30/05/2024,VND,Mua,55.2,72.1,30.615942028985486
stb,03/02/2025,HSC,Mua,38.25,41.0,7.18954248366013
stb,08/10/2024,VND,Mua,38.25,41.5,8.49673202614379
bcm,26/12/2024,VND,Mua,70.1,82.8,18.116975748930106
bcm,23/08/2024,VND,Mua,70.1,83.9,19.6861626248217
sab,04/02/2025,HSC,Mua,51.6,68.2,32.17054263565892
sab,01/10/2024,VND,Giữ,51.6,59.9,16.085271317829452
hdb,05/02/2025,HSC,Mua,22.85,27.08,18.512035010940906
hdb,09/12/2024,VND,Mua,22.85,34.9,52.73522975929976
hdb,22/10/2024,VND,Mua,22.85,33.1,44.85776805251641
hdb,18/06/2024,VND,Mua,22.85,29.0,26.914660831509842
hdb,12/03/2024,VND,Mua,22.85,29.7,29.978118161925593
hvn,06/02/2025,HSC,Mua,29.15,34.5,18.353344768439115
plx,23/01/2025,VND,Mua,42.35,46.1,8.85478158205431
plx,26/09/2024,VND,Mua,42.35,56.6,33.64817001180637
plx,04/07/2024,VND,Mua,42.35,47.1,11.216056670602125
plx,23/02/2024,VND,Giữ,42.35,44.3,4.604486422668231
vjc,07/02/2025,HSC,Giữ,96.7,105.0,8.583247156153046
vjc,26/12/2024,VND,Giữ,96.7,113.6,17.47673216132367
vib,03/02/2025,HSC,Mua,20.45,22.1,8.068459657701723
vib,26/12/2024,VND,Mua,20.45,23.6,15.403422982885095
vib,17/10/2024,VND,Mua,20.45,24.8,21.271393643031793
vib,10/07/2024,VND,Mua,20.45,29.6,44.74327628361859
ssi,24/01/2025,HSC,Mua,24.9,29.5,18.473895582329327
ssi,07/10/2024,VND,Giữ,24.9,31.1,24.89959839357431
ssi,04/06/2024,VND,Giữ,24.9,36.5,46.586345381526115
ssi,23/04/2024,VND,Giữ,24.9,36.5,46.586345381526115
dgc,31/05/2024,VND,Giữ,108.0,143.6,32.962962962962955
vre,25/01/2025,SSI,Mua,16.6,25.2,51.80722891566263
vre,27/11/2024,VND,Mua,16.6,21.7,30.72289156626504
vre,23/09/2024,VND,Mua,16.6,23.4,40.96385542168673
vre,27/06/2024,VND,Mua,16.6,29.6,78.3132530120482
vre,19/03/2024,VND,Mua,16.6,33.2,100.0
tpb,05/02/2025,SSI,Mua,16.9,19.8,17.15976331360948
tpb,23/12/2024,VND,Mua,16.9,21.0,24.26035502958581
tpb,17/10/2024,VND,Mua,16.9,21.0,24.26035502958581
tpb,11/06/2024,VND,Mua,16.9,23.6,39.644970414201204
tpb,12/03/2024,VND,Mua,16.9,26.8,58.57988165680476
ree,28/11/2024,VND,Giữ,67.5,72.9,8.000000000000009
ree,26/08/2024,VND,Giữ,67.5,68.2,1.0370370370370412
ree,25/04/2024,VND,Mua,67.5,77.1,14.222222222222214
pnj,26/01/2025,Jefferies,Mua,95.6,127.44,33.30543933054394
pnj,29/11/2024,VND,Mua,95.6,115.1,20.397489539748957
pnj,21/08/2024,VND,Mua,95.6,126.7,32.53138075313808
pnj,10/04/2024,VND,Mua,95.6,114.4,19.665271966527207
kdh,05/02/2025,HSC,Mua,33.85,42.0,24.07680945347119
kdh,19/12/2024,VND,Mua,33.85,41.3,22.008862629246664
kdh,23/09/2024,VND,Mua,33.85,45.8,35.302806499261436
kdh,03/06/2024,VND,Mua,33.85,43.8,29.39438700147709
pow,17/12/2024,VND,Mua,12.15,14.9,22.633744855967077
pow,24/09/2024,VND,Mua,12.15,14.6,20.164609053497937
pow,29/05/2024,VND,Mua,12.15,14.8,21.81069958847737
frt,03/02/2025,SSI,Mua,190.5,215.0,12.860892388451445
ocb,23/09/2024,VND,Mua,11.4,13.4,17.543859649122805
vgc,06/02/2025,HSC,Mua,51.2,54.9,7.226562499999992
kbc,06/02/2025,HSC,Mua,29.55,36.4,23.181049069373934
kbc,24/12/2024,VND,Giữ,29.55,30.0,1.5228426395939063
kbc,03/06/2024,VND,Mua,29.55,37.9,28.25719120135363
hcm,02/12/2024,FSC,Mua,29.3,28.52,-2.662116040955635
dcm,04/02/2025,BSI,Mua,36.0,41.1,14.166666666666671
dcm,02/12/2024,VND,Mua,36.0,42.7,18.61111111111112
dcm,05/08/2024,VND,Mua,36.0,44.1,22.500000000000004
gmd,07/02/2025,HSC,Mua,61.7,81.8,32.5769854132901
gmd,25/11/2024,VND,Mua,61.7,73.7,19.448946515397083
gmd,07/03/2024,VND,Mua,61.7,90.2,46.19124797406807
kdc,27/12/2024,SADIF,Bán,58.8,51.76,-11.972789115646258
pdr,05/02/2025,HSC,Mua,19.1,25.2,31.937172774869094
vhc,05/02/2025,HSC,Mua,70.5,91.6,29.92907801418439
vhc,09/12/2024,VND,Mua,70.5,85.0,20.56737588652482
vci,24/01/2025,HSC,Giữ,35.35,33.8,-4.384724186704396
dpm,03/02/2025,HSC,Mua,36.15,41.2,13.96957123098203
dpm,17/12/2024,VND,Giữ,36.15,37.3,3.1811894882434264
dpm,22/08/2024,VND,Giữ,36.15,36.8,1.798063623789761
dpm,28/05/2024,VND,Giữ,36.15,38.6,6.777316735822968
dhg,24/01/2025,HSC,Giữ,100.7,101.0,0.2979145978152901
pvd,04/02/2025,BSI,Mua,24.25,29.9,23.298969072164944
pvd,18/11/2024,VND,Mua,24.25,30.9,27.422680412371125
pvd,22/08/2024,VND,Mua,24.25,34.6,42.680412371134025
pvd,20/05/2024,VND,Giữ,24.25,36.8,51.75257731958762
pvd,04/03/2024,VND,Mua,24.25,36.8,51.75257731958762
nlg,04/02/2025,HSC,Mua,32.2,41.2,27.95031055900621
nlg,13/12/2024,VND,Mua,32.2,46.2,43.47826086956522
nlg,16/08/2024,VND,Mua,32.2,45.8,42.236024844720475
hsg,05/02/2025,HSC,Mua,17.0,21.5,26.47058823529412
hsg,16/01/2025,VND,Giữ,17.0,19.1,12.352941176470598
hsg,19/03/2024,VND,Mua,17.0,34.0,100.0
dxg,06/02/2025,HSC,Giữ,14.55,15.83,8.797250859106525
dxg,10/01/2025,VND,Giữ,14.55,18.3,25.773195876288657
dxg,10/10/2024,VND,Giữ,14.55,17.5,20.274914089347075
bsi,05/12/2024,SADIF,Mua,45.7,57.94,26.783369803063444
bmp,24/01/2025,HSC,Giữ,118.6,134.3,13.237774030354146
bmp,19/11/2024,VND,Mua,118.6,140.0,18.04384485666105
bmp,30/08/2024,VND,Mua,118.6,120.0,1.1804384485666153
bmp,20/05/2024,VND,Mua,118.6,126.0,6.239460370994946
ctd,03/01/2025,VND,Mua,92.1,78.9,-14.332247557003248
ctd,11/10/2024,VND,Giữ,92.1,69.3,-24.755700325732896
ctd,24/06/2024,VND,Giữ,92.1,80.2,-12.920738327904443
pvt,23/01/2025,VDS,Mua,26.1,34.6,32.56704980842912
pvt,17/12/2024,VND,Mua,26.1,34.9,33.71647509578543
pvt,19/09/2024,VND,Mua,26.1,33.7,29.118773946360154
pvt,11/06/2024,VND,Giữ,26.1,32.4,24.137931034482747
pvt,21/03/2024,VND,Mua,26.1,33.1,26.81992337164751
hdg,16/01/2025,VDS,Mua,27.55,30.9,12.159709618874764
hdg,23/10/2024,VND,Mua,27.55,34.1,23.774954627949185
hdg,12/07/2024,VND,Giữ,27.55,35.7,29.582577132486392
hdg,01/03/2024,VND,Mua,27.55,33.7,22.32304900181489
dbc,04/02/2025,BSI,Mua,27.45,31.0,12.932604735883427
bhn,25/11/2024,SADIF,Bán,37.5,28.97,-22.74666666666667
cmg,08/01/2025,SADIF,Bán,45.0,45.36,0.7999999999999988
szc,10/10/2024,VND,Mua,42.85,42.9,0.11668611435238542
szc,03/06/2024,VND,Giữ,42.85,42.7,-0.35005834305717287
pc1,21/01/2025,VND,Mua,23.6,27.1,14.83050847457627
pc1,08/10/2024,VND,Mua,23.6,35.3,49.57627118644066
pc1,17/06/2024,VND,Mua,23.6,34.7,47.03389830508475
scs,06/02/2025,HSC,Mua,77.4,85.0,9.819121447028415
scs,23/10/2024,VND,Giữ,77.4,85.0,9.819121447028415
scs,07/06/2024,VND,Giữ,77.4,95.1,22.86821705426355
scs,09/04/2024,VND,Mua,77.4,95.0,22.73901808785529
phr,06/02/2025,HSC,Mua,54.4,64.5,18.56617647058824
phr,19/09/2024,VND,Mua,54.4,64.3,18.198529411764707
phr,14/03/2024,VND,Giữ,54.4,61.2,12.500000000000009
baf,24/12/2024,VND,Mua,29.2,32.0,9.589041095890414
baf,17/10/2024,VND,Mua,29.2,27.5,-5.821917808219176
baf,25/06/2024,VND,Mua,29.2,26.8,-8.219178082191776
baf,18/03/2024,VND,Mua,29.2,33.1,13.356164383561653
hah,04/02/2025,SSI,Mua,54.0,56.6,4.8148148148148175
hah,12/11/2024,VND,Mua,54.0,55.9,3.518518518518516
hah,24/06/2024,VND,Giữ,54.0,48.0,-11.11111111111111
hah,14/03/2024,VND,Giữ,54.0,46.4,-14.074074074074078
dgw,13/11/2024,VND,Giữ,37.85,48.6,28.401585204755612
dgw,14/06/2024,VND,Giữ,37.85,68.0,79.6565389696169
nt2,12/03/2024,VND,Giữ,21.1,27.1,28.436018957345972
dbd,13/01/2025,VDS,Bán,59.8,51.0,-14.715719063545146
ijc,17/10/2024,BSI,Giữ,14.5,18.8,29.655172413793107
cts,28/01/2025,SADIF,Mua,34.55,51.8,49.927641099855286
csv,17/01/2025,SADIF,Mua,45.7,45.93,0.5032822757111529
tlg,03/02/2025,HSC,Giữ,61.4,61.0,-0.6514657980456003
cii,02/04/2024,SADIF,Mua,14.25,30.65,115.08771929824559
bic,25/11/2024,SADIF,Bán,36.5,26.09,-28.520547945205482
tcm,24/01/2025,HSC,Mua,41.35,58.6,41.71704957678355
tcm,30/09/2024,VND,Giữ,41.35,53.3,28.89963724304715
tcm,26/04/2024,VND,Giữ,41.35,42.3,2.2974607013300985
ptb,22/01/2025,HSC,Mua,60.6,80.0,32.01320132013201
ptb,29/08/2024,VND,Mua,60.6,79.65,31.43564356435644
msh,02/01/2025,VDS,Giữ,57.2,54.2,-5.244755244755245
msh,25/12/2024,VND,Giữ,57.2,54.1,-5.419580419580422
msh,26/08/2024,VND,Giữ,57.2,53.4,-6.64335664335665
dxs,05/02/2025,HSC,Mua,6.74,8.5,26.11275964391691
dxs,06/11/2024,VND,Giữ,6.74,5.9,-12.462908011869434
ppc,02/01/2025,VDS,Giữ,11.75,11.5,-2.127659574468085
agr,05/11/2024,SADIF,Mua,16.8,25.51,51.8452380952381
nkg,05/02/2025,HSC,Mua,13.7,17.53,27.95620437956206
nkg,17/01/2025,VND,Giữ,13.7,12.6,-8.029197080291969
nkg,19/03/2024,VND,Mua,13.7,35.0,155.47445255474454
drc,24/01/2025,BSI,Giữ,28.4,29.0,2.1126760563380333
aaa,19/11/2024,SADIF,Giữ,8.68,6.49,-25.230414746543772
cre,05/02/2025,HSC,Mua,7.03,8.4,19.487908961593174
tra,31/12/2024,SSI,Giữ,76.8,85.0,10.677083333333337
fmc,23/01/2025,VDS,Mua,46.8,50.0,6.8376068376068435
dmc,16/10/2024,SADIF,Mua,77.2,71.05,-7.966321243523324
elc,02/01/2025,VDS,Bán,30.2,24.3,-19.536423841059598
agg,18/03/2024,VCBS,Mua,16.05,23.01,43.36448598130841
fcn,31/10/2024,PSI,Mua,15.1,15.05,-0.33112582781456246
anv,03/02/2025,HSC,Mua,16.75,20.2,20.59701492537313
tnh,04/02/2025,HSC,Giữ,19.7,17.83,-9.492385786802036
lcg,17/10/2024,BSI,Mua,10.9,14.0,28.44036697247706
idi,15/04/2024,FTS,Mua,7.55,12.17,61.19205298013245
apg,14/11/2024,SADIF,Bán,8.59,7.29,-15.133876600698484
hax,06/02/2025,HSC,Mua,16.55,20.0,20.845921450151053
ctf,23/10/2024,SADIF,Mua,19.2,35.88,86.87500000000003
clc,02/01/2025,SADIF,Mua,50.5,61.38,21.54455445544555
cti,23/01/2025,SADIF,Mua,21.15,23.77,12.387706855791967
cll,03/04/2024,SADIF,Mua,36.0,51.7,43.611111111111114
cng,20/11/2024,FTS,Giữ,31.8,33.6,5.660377358490568
bbc,14/11/2024,SADIF,Giữ,51.5,52.93,2.7766990291262132
cvt,30/10/2024,SADIF,Mua,24.3,32.42,33.415637860082306
cmx,15/04/2024,SADIF,Bán,7.86,4.25,-45.92875318066158
ads,23/07/2024,SADIF,Giữ,9.65,7.3,-24.35233160621762
btp,06/09/2024,SADIF,Bán,12.3,11.11,-9.67479674796749
dsn,03/02/2025,SADIF,Mua,52.3,61.19,16.9980879541109
acl,09/09/2024,SADIF,Giữ,11.6,12.04,3.7931034482758577
sav,02/05/2024,FTS,Giữ,20.5,14.09,-31.26829268292683
smc,07/03/2024,BSI,Mua,5.94,14.0,135.69023569023565
abt,15/10/2024,SADIF,Mua,41.8,43.57,4.234449760765558
com,12/04/2024,SADIF,Mua,28.0,46.57,66.32142857142857
bce,19/08/2024,SADIF,Mua,9.96,9.65,-3.1124497991967917
bmc,28/11/2024,SADIF,Mua,29.15,21.38,-26.65523156089194
c32,16/09/2024,SADIF,Mua,18.15,23.11,27.32782369146006
c47,12/06/2024,SADIF,Giữ,6.85,9.58,39.854014598540154
cmv,10/04/2024,SADIF,Giữ,9.6,8.8,-8.333333333333323
aam,01/08/2024,SADIF,Giữ,7.26,9.56,31.680440771349872
